TransactionId,Transaction
227,"orange juice,brownie,pain au chocolat"
228,"pain au chocolat,cookie,coffee"
229,"orange juice,pain au chocolat,sausage bread"
230,"brownie,orange juice,coffee"
231,"coffee,sausage bread,brownie"
232,"cookie,orange juice,croissant,pain au chocolat"
233,"pain au chocolat,cookie,sausage bread,brownie"
234,"sausage bread,coffee,orange juice,cookie"
235,"croissant,cookie,orange juice,coffee"
236,"cookie,croissant,pain au chocolat,brownie"
237,"pain au chocolat,coffee,brownie,orange juice"
238,"cookie,brownie,pain au chocolat,sausage bread"
239,"pain au chocolat,brownie,coffee,orange juice"
240,"orange juice,croissant,brownie,sausage bread"
241,"brownie,cookie,coffee,pain au chocolat"
242,"pain au chocolat,cookie,orange juice,coffee"
243,"coffee,pain au chocolat,orange juice,brownie"
244,"sausage bread,cookie,orange juice,croissant"
245,"pain au chocolat,brownie,orange juice,sausage bread"
246,"croissant,sausage bread,orange juice,brownie"
247,"brownie,sausage bread,coffee,pain au chocolat"
248,"pain au chocolat,croissant,cookie,sausage bread"
249,"sausage bread,brownie,orange juice,cookie"
250,"cookie,pain au chocolat,coffee,orange juice"
251,"cookie,pain au chocolat,sausage bread,brownie"
252,"croissant,cookie,sausage bread,pain au chocolat"
253,"brownie,coffee,cookie,orange juice"
254,"pain au chocolat,sausage bread,orange juice,coffee"
255,"pain au chocolat,brownie,croissant,coffee"
256,"pain au chocolat,coffee,croissant,orange juice"
257,"cookie,croissant,coffee,brownie"
258,"sausage bread,orange juice,coffee,croissant"
259,"cookie,pain au chocolat,coffee,orange juice"
260,"orange juice,sausage bread,coffee,pain au chocolat"
261,"coffee,brownie,orange juice,cookie"
262,"orange juice,coffee,sausage bread,cookie"
263,"orange juice,brownie,sausage bread,croissant"
264,"pain au chocolat,brownie,orange juice,croissant"
265,"coffee,orange juice,cookie,pain au chocolat"
266,"coffee,croissant,pain au chocolat,sausage bread"
267,"brownie,sausage bread,pain au chocolat,coffee"
268,"orange juice,pain au chocolat,sausage bread,brownie"
269,"cookie,pain au chocolat,croissant,sausage bread"
270,"cookie,sausage bread,brownie,pain au chocolat"
271,"pain au chocolat,brownie,croissant,orange juice"
272,"coffee,pain au chocolat,orange juice,sausage bread"
273,"croissant,sausage bread,coffee,orange juice"
274,"pain au chocolat,sausage bread,orange juice,brownie"
275,"pain au chocolat,coffee,sausage bread,croissant"
276,"brownie,orange juice,coffee,cookie"
277,"croissant,brownie,orange juice,cookie"
278,"cookie,croissant,orange juice,brownie"
279,"cookie,croissant,pain au chocolat,coffee"
280,"pain au chocolat,coffee,brownie,sausage bread"
281,"orange juice,croissant,cookie,sausage bread"
282,"pain au chocolat,orange juice,coffee,brownie"
283,"pain au chocolat,cookie,orange juice,sausage bread"
284,"cookie,sausage bread,pain au chocolat,croissant"
285,"croissant,orange juice,brownie,coffee"
286,"croissant,pain au chocolat,orange juice,cookie"
287,"pain au chocolat,brownie,cookie,sausage bread"
288,"croissant,coffee,sausage bread,cookie"
289,"pain au chocolat,brownie,croissant,coffee"
290,"coffee,croissant,pain au chocolat,brownie"
291,"brownie,croissant,coffee,cookie"
292,"cookie,sausage bread,brownie,orange juice"
293,"coffee,brownie,orange juice,pain au chocolat"
294,"orange juice,brownie,croissant,sausage bread"
295,"brownie,croissant,cookie,orange juice"
296,"pain au chocolat,sausage bread,cookie,croissant"
297,"cookie,brownie,pain au chocolat,coffee"
